DT-Index;Datum;Zeit;Quotation [Euro/MWh]
05.10.2021 10:45:00;05.10.2021;10:45:00;65,735
05.10.2021 11:00:00;05.10.2021;11:00:00;59,942
05.10.2021 11:15:00;05.10.2021;11:15:00;71,983
05.10.2021 11:30:00;05.10.2021;11:30:00;70,413
05.10.2021 11:45:00;05.10.2021;11:45:00;67,874
05.10.2021 12:00:00;05.10.2021;12:00:00;62,261
05.10.2021 12:15:00;05.10.2021;12:15:00;72,230
05.10.2021 12:30:00;05.10.2021;12:30:00;64,058
05.10.2021 12:45:00;05.10.2021;12:45:00;61,334
05.10.2021 13:00:00;05.10.2021;13:00:00;59,306
05.10.2021 13:15:00;05.10.2021;13:15:00;69,619
05.10.2021 13:30:00;05.10.2021;13:30:00;66,435
05.10.2021 13:45:00;05.10.2021;13:45:00;60,749
05.10.2021 14:00:00;05.10.2021;14:00:00;53,800
05.10.2021 14:15:00;05.10.2021;14:15:00;54,461
05.10.2021 14:30:00;05.10.2021;14:30:00;61,044
05.10.2021 14:45:00;05.10.2021;14:45:00;65,004
05.10.2021 15:00:00;05.10.2021;15:00:00;70,514
05.10.2021 15:15:00;05.10.2021;15:15:00;57,241
05.10.2021 15:30:00;05.10.2021;15:30:00;64,105
05.10.2021 15:45:00;05.10.2021;15:45:00;68,258
05.10.2021 16:00:00;05.10.2021;16:00:00;72,970
05.10.2021 16:15:00;05.10.2021;16:15:00;54,275
05.10.2021 16:30:00;05.10.2021;16:30:00;63,911
05.10.2021 16:45:00;05.10.2021;16:45:00;72,882
05.10.2021 17:00:00;05.10.2021;17:00:00;88,517
05.10.2021 17:15:00;05.10.2021;17:15:00;58,692
05.10.2021 17:30:00;05.10.2021;17:30:00;75,543
05.10.2021 17:45:00;05.10.2021;17:45:00;87,030
05.10.2021 18:00:00;05.10.2021;18:00:00;102,730
05.10.2021 18:15:00;05.10.2021;18:15:00;74,805
05.10.2021 18:30:00;05.10.2021;18:30:00;77,904
05.10.2021 18:45:00;05.10.2021;18:45:00;85,213
05.10.2021 19:00:00;05.10.2021;19:00:00;100,872
05.10.2021 19:15:00;05.10.2021;19:15:00;97,233
