DT-Index;Datum;Zeit;Quotation [Euro/MWh]
04.10.2021 06:45:00;04.10.2021;06:45:00;59,510
04.10.2021 07:00:00;04.10.2021;07:00:00;68,477
04.10.2021 07:15:00;04.10.2021;07:15:00;48,698
04.10.2021 07:30:00;04.10.2021;07:30:00;60,231
04.10.2021 07:45:00;04.10.2021;07:45:00;64,007
04.10.2021 08:00:00;04.10.2021;08:00:00;66,899
04.10.2021 08:15:00;04.10.2021;08:15:00;60,403
04.10.2021 08:30:00;04.10.2021;08:30:00;59,561
04.10.2021 08:45:00;04.10.2021;08:45:00;56,494
04.10.2021 09:00:00;04.10.2021;09:00:00;51,019
04.10.2021 09:15:00;04.10.2021;09:15:00;60,525
04.10.2021 09:30:00;04.10.2021;09:30:00;56,300
04.10.2021 09:45:00;04.10.2021;09:45:00;53,598
04.10.2021 10:00:00;04.10.2021;10:00:00;48,668
04.10.2021 10:15:00;04.10.2021;10:15:00;56,950
04.10.2021 10:30:00;04.10.2021;10:30:00;52,108
04.10.2021 10:45:00;04.10.2021;10:45:00;49,503
04.10.2021 11:00:00;04.10.2021;11:00:00;47,051
04.10.2021 11:15:00;04.10.2021;11:15:00;51,083
04.10.2021 11:30:00;04.10.2021;11:30:00;50,612
04.10.2021 11:45:00;04.10.2021;11:45:00;49,667
04.10.2021 12:00:00;04.10.2021;12:00:00;45,719
04.10.2021 12:15:00;04.10.2021;12:15:00;49,887
04.10.2021 12:30:00;04.10.2021;12:30:00;44,962
04.10.2021 12:45:00;04.10.2021;12:45:00;45,343
04.10.2021 13:00:00;04.10.2021;13:00:00;45,972
04.10.2021 13:15:00;04.10.2021;13:15:00;49,182
04.10.2021 13:30:00;04.10.2021;13:30:00;48,816
04.10.2021 13:45:00;04.10.2021;13:45:00;46,481
04.10.2021 14:00:00;04.10.2021;14:00:00;43,127
04.10.2021 14:15:00;04.10.2021;14:15:00;41,249
04.10.2021 14:30:00;04.10.2021;14:30:00;45,893
04.10.2021 14:45:00;04.10.2021;14:45:00;49,294
04.10.2021 15:00:00;04.10.2021;15:00:00;52,669
04.10.2021 15:15:00;04.10.2021;15:15:00;43,186
04.10.2021 15:30:00;04.10.2021;15:30:00;47,265
04.10.2021 15:45:00;04.10.2021;15:45:00;50,533
04.10.2021 16:00:00;04.10.2021;16:00:00;53,686
04.10.2021 16:15:00;04.10.2021;16:15:00;43,440
04.10.2021 16:30:00;04.10.2021;16:30:00;48,323
04.10.2021 16:45:00;04.10.2021;16:45:00;54,136
04.10.2021 17:00:00;04.10.2021;17:00:00;61,752
04.10.2021 17:15:00;04.10.2021;17:15:00;45,963
04.10.2021 17:30:00;04.10.2021;17:30:00;55,010
04.10.2021 17:45:00;04.10.2021;17:45:00;61,546
04.10.2021 18:00:00;04.10.2021;18:00:00;66,759
04.10.2021 18:15:00;04.10.2021;18:15:00;56,224
04.10.2021 18:30:00;04.10.2021;18:30:00;55,128
04.10.2021 18:45:00;04.10.2021;18:45:00;58,682
04.10.2021 19:00:00;04.10.2021;19:00:00;62,991
04.10.2021 19:15:00;04.10.2021;19:15:00;69,648
04.10.2021 19:30:00;04.10.2021;19:30:00;62,349
04.10.2021 19:45:00;04.10.2021;19:45:00;58,257
04.10.2021 20:00:00;04.10.2021;20:00:00;51,237
04.10.2021 20:15:00;04.10.2021;20:15:00;78,799
04.10.2021 20:30:00;04.10.2021;20:30:00;59,667
04.10.2021 20:45:00;04.10.2021;20:45:00;48,989
04.10.2021 21:00:00;04.10.2021;21:00:00;36,650
04.10.2021 21:15:00;04.10.2021;21:15:00;63,771
04.10.2021 21:30:00;04.10.2021;21:30:00;55,615
04.10.2021 21:45:00;04.10.2021;21:45:00;44,337
04.10.2021 22:00:00;04.10.2021;22:00:00;29,037
04.10.2021 22:15:00;04.10.2021;22:15:00;61,327
04.10.2021 22:30:00;04.10.2021;22:30:00;51,513
04.10.2021 22:45:00;04.10.2021;22:45:00;39,164
04.10.2021 23:00:00;04.10.2021;23:00:00;26,192
04.10.2021 23:15:00;04.10.2021;23:15:00;54,108
04.10.2021 23:30:00;04.10.2021;23:30:00;45,251
04.10.2021 23:45:00;04.10.2021;23:45:00;33,038
05.10.2021 00:00:00;05.10.2021;00:00:00;20,358
05.10.2021 00:15:00;05.10.2021;00:15:00;48,675
05.10.2021 00:30:00;05.10.2021;00:30:00;41,764
05.10.2021 00:45:00;05.10.2021;00:45:00;34,572
05.10.2021 01:00:00;05.10.2021;01:00:00;27,965
05.10.2021 01:15:00;05.10.2021;01:15:00;41,809
05.10.2021 01:30:00;05.10.2021;01:30:00;37,813
05.10.2021 01:45:00;05.10.2021;01:45:00;34,730
05.10.2021 02:00:00;05.10.2021;02:00:00;30,348
05.10.2021 02:15:00;05.10.2021;02:15:00;36,624
05.10.2021 02:30:00;05.10.2021;02:30:00;32,981
05.10.2021 02:45:00;05.10.2021;02:45:00;34,562
05.10.2021 03:00:00;05.10.2021;03:00:00;35,233
05.10.2021 03:15:00;05.10.2021;03:15:00;32,300
05.10.2021 03:30:00;05.10.2021;03:30:00;32,684
05.10.2021 03:45:00;05.10.2021;03:45:00;32,857
05.10.2021 04:00:00;05.10.2021;04:00:00;34,329
05.10.2021 04:15:00;05.10.2021;04:15:00;27,186
05.10.2021 04:30:00;05.10.2021;04:30:00;31,658
05.10.2021 04:45:00;05.10.2021;04:45:00;36,976
05.10.2021 05:00:00;05.10.2021;05:00:00;40,655
05.10.2021 05:15:00;05.10.2021;05:15:00;27,428
05.10.2021 05:30:00;05.10.2021;05:30:00;31,567
